No_Invoice,Total_Piutang,Jumlah_Termin_Aktual,Jumlah_Termin_Prediksi,Aktual_Bayar_1,Prediksi_Bayar_1,Aktual_Bayar_2,Prediksi_Bayar_2,Aktual_Bayar_3,Prediksi_Bayar_3,Aktual_Bayar_4,Prediksi_Bayar_4,Aktual_Bayar_5,Prediksi_Bayar_5,Total_Nominal_Meleset,Persentase_Simpangan (%)
897/25/12/446/X,30125.0,1,2,30125.0,28999.471138068755,0.0,1125.528861931246,0.0,0.0,0.0,0.0,0.0,0.0,1125.5288619312455,3.74
047516/25/SBY,69375.0,1,1,69375.0,69375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479/25/09/309/X,17625.0,1,2,17625.0,17085.90514465481,0.0,539.0948553451889,0.0,0.0,0.0,0.0,0.0,0.0,539.094855345189,3.06
659/25/08/088/X,991625.0,1,1,991625.0,991625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
643/24/09/238/X,605125.0,1,2,605125.0,581447.2322097893,0.0,23677.767790210597,0.0,0.0,0.0,0.0,0.0,0.0,23677.76779021063,3.91
539/25/11/500/LI,76875.0,1,1,76875.0,76875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
869/25/12/607/X,162625.0,1,3,162625.0,139352.75045885862,0.0,20030.10712007149,0.0,3242.1424210699015,0.0,0.0,0.0,0.0,23272.24954114139,14.31
293/26/01/422/VA,17625.0,1,2,12625.0,17085.90514465481,0.0,539.0948553451889,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,14.18
219/25/09/181/VZ,407625.0,1,2,407625.0,396851.1855733765,0.0,10773.814426623547,0.0,0.0,0.0,0.0,0.0,0.0,10773.814426623532,2.64
571/25/08/888/VA,45125.0,1,2,45125.0,40614.07354561942,0.0,4510.926454380578,0.0,0.0,0.0,0.0,0.0,0.0,4510.9264543805775,10.0
905/25/10/257/VX,25125.0,1,2,25125.0,23500.197070514187,0.0,1624.8029294858163,0.0,0.0,0.0,0.0,0.0,0.0,1624.8029294858147,6.47
536/25/12/530/X,162625.0,1,3,162625.0,139352.75045885862,0.0,20030.10712007149,0.0,3242.1424210699015,0.0,0.0,0.0,0.0,23272.24954114139,14.31
613/25/08/143/X,411875.0,1,1,411875.0,411875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
781/26/01/862/X,155000.0,1,1,155000.0,155000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
019/25/10/428/X,25125.0,1,2,25125.0,23500.197070514187,0.0,1624.8029294858163,0.0,0.0,0.0,0.0,0.0,0.0,1624.8029294858147,6.47
376/25/07/369/X,1977375.0,1,2,1977375.0,756057.7971330937,0.0,1221317.202866906,0.0,0.0,0.0,0.0,0.0,0.0,1221317.2028669063,61.76
447/25/10/993/X,587000.0,1,2,587000.0,511234.0329932194,0.0,75765.96700678061,0.0,0.0,0.0,0.0,0.0,0.0,75765.96700678061,12.91
068/25/09/210/X,67625.0,1,2,67625.0,62749.135658036255,0.0,4875.8643419637565,0.0,0.0,0.0,0.0,0.0,0.0,4875.86434196375,7.21
001962/26/SBY,166750.0,1,1,166750.0,166750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
723/25/08/993/VC,85125.0,1,2,85125.0,71005.75749975906,0.0,14119.242500240938,0.0,0.0,0.0,0.0,0.0,0.0,14119.24250024094,16.59
